"Key","SourceString","DevComment"
"dt_lore_northern_beaches.02_nb_m_mr_the_eaten_children.TextBody","«...они, должно быть, теснились в его животе, прижавшись друг к другу. Они не могли умереть от голода, но были голодны, никогда не пробовав материнского молока. Неудивительно, что они тираны. Их свели с ума еще до того, как они увидели солнце...»",""
"dt_lore_northern_beaches.02_nb_m_mr_main_mural.Heading","Древняя резьба",""
"dt_lore_northern_beaches.02_nb_m_mr_main_mural.TextBody","Древняя надпись вырезана многими руками, представляя собой собранные исследования поколений жрецов Кроноса. В ней даны конкретные пошаговые инструкции, как найти тело Короля Титанов там, где оно лежит разбитое в Тартаре. Как собрать силу из Ихора титана и использовать ее для вливания в его жилы свежей божественной крови. Как оживить Повелителя Времени, чтобы он смог отменить хитрость Зевса и вернуть себе законный трон, одарив своей благосклонностью всех, кто поспособствует его возвращению...",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_01.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_01.TextBody","День 1:\nСолдаты королевы Эраны заперли нас в доме. Еда на исходе. Если Алектрион ошибается, то мы все здесь погибнем. Судьбы жестоки. Я вступил в орден в поисках спасения от смерти, пока старость не забрала меня, но это лишь ускорило мой конец. Читатель, если ты найдешь это среди моих костей, знай, что меня звали Климен и я был жив.",""
"dt_lore_northern_beaches.02_nb_m_mr_generic_mural.Heading","Выцветшая фреска",""
"dt_lore_northern_beaches.02_nb_m_mr_generic_mural.TextBody","На фреске изображена группа женщин, совершающих какой-то ритуал вокруг мертвого дерева. Единственное вырезанное слово, которое можно разобрать — «Кронос».",""
"dt_lore_northern_beaches.02_nb_m_mr_rise_again.Heading","Размазанные письмена",""
"dt_lore_northern_beaches.02_nb_m_mr_rise_again.TextBody","«ОН ВОСКРЕСНЕТ! ОН ВОСКРЕСНЕТ И ВЕРНЕТ НАС К МОЛОДОСТИ И ВЕЧНОЙ ЖИЗНИ!»",""
"dt_lore_northern_beaches.02_nb_m_mr_orders_from_alektruon.Heading","Старые инструкции",""
"dt_lore_northern_beaches.02_nb_m_mr_orders_from_alektruon.TextBody","«Почему нас так мало?! Мы предлагаем вечную жизнь! Скажите вербовщикам, чтобы они начинали с таких слов. Гнев королевы не имеет значения...»",""
"dt_lore_northern_beaches.02_nb_m_mr_old_sermon.Heading","Старая проповедь",""
"dt_lore_northern_beaches.02_nb_m_mr_old_sermon.TextBody","«Почему мы, смертные, поклоняемся богам? Потому что они справедливы? Нет. Потому что они могущественны. Кронос затмевает Зевса во сто крат, поэтому он в сто раз более достоин поклонения. Зевс победил его хитростью!»",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_02.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_02.TextBody","День 9:\nОн попытался провести ритуал. Не получилось. Еда исчезла. Мы думали, что сможем овладеть Временем, но оно покончит с нами.",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_03.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_03.TextBody","День 15:\nЭто сработало. В какой-то мере. Алектрион смог освежить свою молодость. Его волосы из белых превратились в свежие черные. Его живот наполнился, и он снова стал упитанным юношей. Он сказал, что это временно, но мы можем проводить ритуал снова и снова, чтобы не допустить старости и голода...",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_04.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_04.TextBody","День 30:\nМы не бессмертны. Двое из них подрались. Они ударили друг друга ножом. Они истекли кровью на полу, и ритуал не оживил их. Алектрион утверждает, что истинное бессмертие возможно, но я не знаю. У нас есть время, чтобы продолжить попытки. Мы должны быть уверены, что не будем сражаться. Нас осталось несколько человек, и если мы все будем исследовать как один, то наверняка найдем ответ. Мы не должны сражаться.",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_05.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_05.TextBody","День 937:\nМы нашли ответ! Наконец-то! Хвала Кроносу! Он может дать нам истинное бессмертие! Он может восстановить тех, кто умер! Мы должны просто оживить его из Тартара!",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_06.Heading","Старинный дневник",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_06.TextBody","День 10946:\nЯ чувствовал Кроноса в своем сердце, но теперь я вижу его во сне, и его глаза такие темные с ярким огнем посередине, его улыбка кривая, и я боюсь, что он не поможет нам, когда мы воскресим его, и те, кто умрет, будут убивать снова, и мир перевернется с ног на голову.",""
"dt_lore_northern_beaches.NewRow.TextBody","...Зевс впервые с момента своего рождения вернулся на гору Отрис, переодетый Реей в чашечника Кроноса. Зевс наполнил бронзовый кубок Кроноса божественным ядом, и когда Кронос сделал глоток, он был сражен насмерть, не успев воспользоваться своей властью над временем, чтобы стереть свою последнюю ошибку. Братья и сестры Зевса выплеснулись из глотки отца, целые и выросшие. Зевс изгнал тело отца в Тартар, а сам вместе с братьями и сестрами, собрав могущественных союзников, выступил против оставшихся Титанов в десятилетней битве, от которой вскипали моря и трескалась земля...",""
"dt_lore_northern_beaches.02_nb_m_mr_bull_plaque.Heading","Бронзовая табличка",""
"dt_lore_northern_beaches.02_nb_m_mr_bull_plaque.TextBody","«Кровь жертв будет литься за благосклонность Короля Титанов! Ликуйте! Звери, люди и боги прольют кровь в его честь!»",""
"dt_lore_northern_beaches.02_nb_m_mr_skeleton_in_coffin.Heading","Пыльный скелет",""
"dt_lore_northern_beaches.02_nb_m_mr_skeleton_in_coffin.TextBody","На этих древних костях виднеются талисман с символом серпа и бронзовые доспехи, покрытые ржавыми пятнами старой крови.",""
"dt_lore_northern_beaches.02_nb_m_mr_mycenaean_shield.Heading","Старый щит",""
"dt_lore_northern_beaches.02_nb_m_mr_mycenaean_shield.TextBody","Это хорошо сохранившееся микенское вооружение имеет надпись «ЭРАНА», выбитую на бронзовом щите босса.",""
"dt_lore_northern_beaches.02_nb_s_mtm_treasure_3_golden_head_riddle.Heading","Пыльный череп",""
"dt_lore_northern_beaches.02_nb_s_mtm_treasure_3_golden_head_riddle.TextBody","На пыльном черепе выгравировано одно слово: «ВОССТАНОВИ»",""
"dt_lore_northern_beaches.02_nb_m_moc_moirai_pleading_prayer.Heading","Витиеватый свиток",""
"dt_lore_northern_beaches.02_nb_m_moc_moirai_pleading_prayer.TextBody","«...Умоляю вас, если вы отложите обрывание ее нити еще на несколько сезонов, тогда я пожертвую все, что у меня есть...»",""
"dt_lore_northern_beaches.02_nb_m_moc_titan_ichor_scroll.Heading","Потускневшие письмена",""
"dt_lore_northern_beaches.02_nb_m_moc_titan_ichor_scroll.TextBody","«...кровь самого неба... сила, способная воскресить сына... вены, наполненные божественностью...»",""
"dt_lore_northern_beaches.02_nb_m_moc_lachesis_scroll.Heading","Аллоттер",""
"dt_lore_northern_beaches.02_nb_m_moc_lachesis_scroll.TextBody","«...и когда пал последний титан, Лехесис подошла к Зевсу и рассказала ему о его долге и ноше — стоять над гобеленом, сотканным Судьбами, его хранителем и защитником...»",""
"dt_lore_northern_beaches.02_nb_m_if_ichthian_skeletons_in_pot.Heading","Кипящие трупы",""
"dt_lore_northern_beaches.02_nb_m_if_ichthian_skeletons_in_pot.TextBody","Ихтианские трупы кипят в грязной воде, последние кусочки плоти растворяются.",""
"dt_lore_northern_beaches.02_nb_m_if_scroll_undead_lore.Heading","Пропитанный кровью свиток",""
"dt_lore_northern_beaches.02_nb_m_if_scroll_undead_lore.TextBody","«...Сама сила движет костями, не омраченная ни жалостью, ни сомнениями. Душа не возвращается на прогулку, беспокойная и измученная, как у микенцев после разрыва Ночи...»",""
"dt_lore_northern_beaches.02_nb_m_if_scroll_about_undead_instructions.Heading","Старинные писания",""
"dt_lore_northern_beaches.02_nb_m_if_scroll_about_undead_instructions.TextBody","«...очень важно оставить как можно меньше плоти на костях. Плоть помнит старую волю, а кость чиста и покоряется новым хозяевам...»",""
"dt_lore_northern_beaches.02_nb_m_if_flayed_bones.Heading","Истерзанные кости",""
"dt_lore_northern_beaches.02_nb_m_if_flayed_bones.TextBody","Острым камнем с костей была соскоблена плоть, а затем выгравированы крошечные символы.",""
"dt_lore_northern_beaches.02_nb_s_ct_cave_treasure.Heading","Листать",""
"dt_lore_northern_beaches.02_nb_s_ct_cave_treasure.TextBody","«...Не великий пират, \nне великий поэт. \nНо с луком я обращаться умею.\nЯ спрятал его у моей лодки!»",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_1.Heading","Оставленное снаряжение",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_1.TextBody","Это альпинистское снаряжение выглядит дорогим... и потерянным.",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_brothers_1.Heading","Забытое снаряжение для скалолазания",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_brothers_1.TextBody","Снаряжение, которое, похоже, было оставлено во время поспешного восхождения.",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_brothers_2.Heading","Пропитанное кровью снаряжение для скалолазания",""
"dt_lore_northern_beaches.02_nb_s_tb_cave_lore_brothers_2.TextBody","Еще влажные пятна крови поблескивают в лучах солнца.",""
"dt_lore_northern_beaches.02_nb_s_tb_dead_horse.Heading","Разлагающаяся лощадь",""
"dt_lore_northern_beaches.02_nb_s_tb_dead_horse.TextBody","Мертвая лошадь. Кости раздроблены, будто она упала с большой высоты.",""
"dt_lore_northern_beaches.02_nb_m_if_ichthian_king_note.Heading","Незаконченные планы",""
"dt_lore_northern_beaches.02_nb_m_if_ichthian_king_note.TextBody","На грубой карте изображен Пиргос и его окрестности. Ихтианскую письменность трудно разобрать, но можно заметить «наводнение плотины», «отправить воинов на юг», «убивать людей», «найти для нее титанский ихор» и «новая ихтианская империя».",""
"dt_lore_northern_beaches.02_nb_s_ae_corpse_in_cell.Heading","Опустошенные останки",""
"dt_lore_northern_beaches.02_nb_s_ae_corpse_in_cell.TextBody","Мумифицированные останки неудачливого искателя приключений. В костяных руках крепко зажато золото.",""
"dt_lore_northern_beaches.02_nb_s_ae_prison_orders.Heading","Приказы надзирателя",""
"dt_lore_northern_beaches.02_nb_s_ae_prison_orders.TextBody","«...опасных заключенных, распространяющих ложь против Ее Величества. Я хочу, чтобы все камеры были трижды проверены. Ошибок больше не будет...»",""
