"Key","SourceString"
"rel_goldenfleece_flavortext","Золотое руно, за которым охотились Ясон и его аргонавты, по слухам, таит в себе не только красоту, но и великую силу."
"rel_hades_name_01","Сущность шлема тьмы Аида"
"rel_hades_name_02","Олицетворение шлема тьмы Аида"
"rel_hades_name_03","Воплощение шлема тьмы Аида"
"rel_hades_flavortext","Аид — бог подземного мира, владыка мёртвых. Шлем Тьмы дарует ему возможность невидимо передвигаться среди богов и смертных и является знаком его власти над тенями и невидимым."
"rel_hekate_name_01","Сущность полумесяца Гекаты"
"rel_hekate_name_02","Олицетворение полумесяца Гекаты"
"rel_hekate_name_03","Воплощение полумесяца Гекаты"
"rel_hekate_flavortext","Геката — таинственная греческая богиня, связанная с луной, деторождением и магией."
"rel_helios_name_01","Сущность солнечной короны Гелиоса"
"rel_helios_name_02","Олицетворение солнечной короны Гелиоса"
"rel_helios_name_03","Воплощение солнечной короны Гелиоса"
"rel_helios_flavortext","Солнечная корона Гелиоса — символ его власти над небесами. Её золотые лучи отражают его силу, жизненную силу и бесконечный цикл дня."
"rel_hera_name_01","Сущность скипетра Геры"
"rel_hera_name_02","Олицетворение скипетра Геры"
"rel_hera_name_03","Воплощение скипетра Геры"
"rel_hera_flavortext","Царица богов Олимпа. Её скипетр — символ верховной власти и божественного величия."
"rel_herakles_name_01","Сущность силы Геракла"
"rel_herakles_name_02","Олицетворение силы Геракла"
"rel_herakles_name_03","Воплощение силы Геракла"
"rel_herakles_flavortext","Геракл был сильнейшим из всех греческих героев."
"rel_hermes_name_01","Сущность сандалий Гермеса"
"rel_hermes_name_02","Олицетворение сандалий Гермеса"
"rel_hermes_name_03","Воплощение сандалий Гермеса"
"rel_hermes_flavortext","Гермес — самый быстрый из греческих богов. Он известен своими крылатыми сандалиями, талариями."
"rel_hestia_name_01","Сущность углей Гестии"
"rel_hestia_name_02","Олицетворение углей Гестии"
"rel_hestia_name_03","Воплощение углей Гестии"
"rel_hestia_flavortext","Гестия, богиня домашнего очага, дарует тепло и мир как богам, так и смертным."
"rel_hippolyta_name_01","Сущность боевого пояса Ипполиты"
"rel_hippolyta_name_02","Олицетворение боевого пояса Ипполиты"
"rel_hippolyta_name_03","Воплощение боевого пояса Ипполиты"
"rel_hippolyta_flavortext","Ипполита — дочь Ареса и королева амазонок, которая с гордостью носит боевой пояс своего отца."
"rel_bellerophon_name_01","Сущность гордыни Беллерофонта"
"rel_bellerophon_name_02","Олицетворение гордыни Беллерофонта"
"rel_bellerophon_name_03","Воплощение гордыни Беллерофонта"
"rel_bellerophon_flavortext","Беллерофонт, божественный герой Коринфа, был известен тем, что убил Химеру, а также пленил и укротил крылатого коня Пегаса."
"rel_hypnos_name_01","Сущность спокойствия Гипноса"
"rel_hypnos_name_02","Олицетворение спокойствия Гипноса"
"rel_hypnos_name_03","Воплощение спокойствия Гипноса"
"rel_hypnos_flavortext","Гипнос — олицетворение сна и сын Никты, оставшийся без отца. Его спокойствие — это его сила и символ, погружающий мир в безмятежную дремоту."
"rel_moros_name_01","Сущность неизбежности Мороса"
"rel_moros_name_02","Олицетворение неизбежности Мороса"
"rel_moros_name_03","Воплощение неизбежности Мороса"
"rel_moros_flavortext","Морос, брат Танатоса и Мойр, является олицетворением надвигающейся гибели."
"rel_ajax_name_01","Сущность железной воли Аякса"
"rel_ajax_name_02","Олицетворение железной воли Аякса"
"rel_ajax_name_03","Воплощение железной воли Аякса"
"rel_ajax_flavortext","Аякс, один из величайших героев Троянской войны, был известен не только силой своей руки, но еще больше своим неукротимым духом."
"rel_minos_name_01","Сущность приговора Миноса"
"rel_minos_name_02","Олицетворение приговора Миноса"
"rel_minos_name_03","Воплощение приговора Миноса"
"rel_minos_flavortext","Минос, сын Зевса и царь Крита, прославился своей мудростью и властью. После смерти он стал судьёй душ."
"rel_kronos_name_01","Сущность серпа Кроноса"
"rel_kronos_name_02","Олицетворение серпа Кроноса"
"rel_kronos_name_03","Воплощение серпа Кроноса"
"rel_kronos_flavortext","Серп Кроноса — орудие воли титана. С его помощью он повелевает временем, смертностью и судьбами мира."
"rel_perseus_name_01","Сущность наследия Персея"
"rel_perseus_name_02","Олицетворение наследия Персея"
"rel_perseus_name_03","Воплощение наследия Персея"
"rel_perseus_flavortext","От убийства Горгоны Медузы до спасения королевств — Персей оставил после себя наследие, превосходящее царей."
"rel_medea_name_01","Сущность бальзама Медеи"
"rel_medea_name_02","Олицетворение бальзама Медеи"
"rel_medea_name_03","Воплощение бальзама Медеи"
"rel_medea_flavortext","Медея — колхидская принцесса и волшебница, известная своим искусством зельеварения. Она помогала Ясону в поисках Золотого руна."
"rel_pandora_name_01","Сущность ящика Пандоры"
"rel_pandora_name_02","Олицетворение ящика Пандоры"
"rel_pandora_name_03","Воплощение ящика Пандоры"
"rel_pandora_flavortext","Пандора была первой смертной женщиной, созданной Гефестом по приказу Зевса. Её ящик — это её оружие и символ, хранящий как бедствия, так и слабую надежду, оставшуюся для человечества."
"rel_persephone_name_01","Сущность слез Персефоны"
"rel_persephone_name_02","Олицетворение слез Персефоны"
"rel_persephone_name_03","Воплощение слез Персефоны"
"rel_persephone_flavortext","Персефона, любимая дочь богини земли Деметры, была насильно выдана замуж за Аида. Теперь она правит подземным миром, но это приносит ей лишь горе."
"rel_poseidon_name_01","Сущность трезубца Посейдона"
"rel_poseidon_name_02","Олицетворение трезубца Посейдона"
"rel_poseidon_name_03","Воплощение трезубца Посейдона"
"rel_poseidon_flavortext","Циклопы, создавшие молнию Зевса, также подарили его брату волшебный трезубец."
"rel_prometheus_name_01","Сущность пламени Прометея"
"rel_prometheus_name_02","Олицетворение пламени Прометея"
"rel_prometheus_name_03","Воплощение пламени Прометея"
"rel_prometheus_flavortext","Прометей, сын титана Иапета, подарил человечеству огонь."
"rel_ares_name_01","Сущность ярости Ареса"
"rel_ares_name_02","Олицетворение ярости Ареса"
"rel_ares_name_03","Воплощение ярости Ареса"
"rel_ares_flavortext","Арес, греческий бог войны, в равной степени почитаем и страшен. Он жесток, мстителен и почти безумен — только глупец рискнул бы вызвать его гнев."
"rel_nemesis_name_01","Сущность возмездия Немезиды"
"rel_nemesis_name_02","Олицетворение возмездия Немезиды"
"rel_nemesis_name_03","Воплощение возмездия Немезиды"
"rel_nemesis_flavortext","Немезида — богиня божественного возмездия, которая верит, что быстрое и неотвратимое наказание — единственный способ восстановить справедливость, а справедливость — единственный способ предотвратить крах мира."
"rel_rheia_name_01","Сущность дара жизни Реи"
"rel_rheia_name_02","Олицетворение дара жизни Реи"
"rel_rheia_name_03","Воплощение дара жизни Реи"
"rel_rheia_flavortext","Рея, мать богов и хранительница жизни, с гордостью оберегает своих детей. Её дар дарует им несокрушимую силу и расцвет мира в их руках."
"rel_selene_name_01","Сущность лунного света Селены"
"rel_selene_name_02","Олицетворение лунного света Селены"
"rel_selene_name_03","Воплощение лунного света Селены"
"rel_selene_flavortext","Селена — богиня луны, парящая по ночному небу. Её лунный свет — символ её безмятежности и дара миру."
"rel_hector_name_01","Сущность тени Гектора"
"rel_hector_name_02","Олицетворение тени Гектора"
"rel_hector_name_03","Воплощение тени Гектора"
"rel_hector_flavortext","Гектор, троянский принц, славился благородством духа и стойкостью характера. Он пал, защищая родину, оплакиваемый даже врагами."
"rel_orpheus_name_01","Сущность песни Орфея"
"rel_orpheus_name_02","Олицетворение песни Орфея"
"rel_orpheus_name_03","Воплощение песни Орфея"
"rel_orpheus_flavortext","Орфей был легендарным музыкантом и поэтом, спустившимся в подземный мир, чтобы вернуть свою потерянную жену Эвридику, но безуспешно. В конце концов, Гефест сжалился над несчастными влюблёнными и вознёс их к себе на Олимп."
"rel_theia_name_01","Сущность великолепия Тейи"
"rel_theia_name_02","Олицетворение великолепия Тейи"
"rel_theia_name_03","Воплощение великолепия Тейи"
"rel_theia_flavortext","Тейя, титанида зрения и проницательности. Её сияние приносит ясность и сияние в космос."
"rel_typhon_name_01","Сущность змеиного клыка Тифона"
"rel_typhon_name_02","Олицетворение змеиного клыка Тифона"
"rel_typhon_name_03","Воплощение змеиного клыка Тифона"
"rel_typhon_flavortext","Тифон, рожденный как хаотичная сила, бросившая вызов олимпийским богам, был одним из самых ужасающих и разрушительных существ, пока его не убил безымянный герой."
"rel_achilles_name_01","Сущность доблести Ахиллеса"
"rel_achilles_name_02","Олицетворение доблести Ахиллеса"
"rel_achilles_name_03","Воплощение доблести Ахиллеса"
"rel_achilles_flavortext","Ахиллес был величайшим из греческих воинов Троянской войны. Его сила и скорость в бою были легендарными."
"rel_narcissus_name_01","Сущность тщеславия Нарцисса"
"rel_narcissus_name_02","Олицетворение тщеславия Нарцисса"
"rel_narcissus_name_03","Воплощение тщеславия Нарцисса"
"rel_narcissus_flavortext","Нарцисс, чья красота не имела себе равных среди смертных, был одержим собой. Тщеславие было его гордостью и проклятием."
"rel_chiron_name_01","Сущность мудрости Хирона"
"rel_chiron_name_02","Олицетворение мудрости Хирона"
"rel_chiron_name_03","Воплощение мудрости Хирона"
"rel_chiron_flavortext","Хирон — мудрейший из кентавров, учитель героев и целитель ран. Его мудрость — его символ, он направляет смертных и богов с проницательностью и терпением."
"rel_zeus_name_01","Сущность молнии Зевса"
"rel_zeus_name_02","Олицетворение молнии Зевса"
"rel_zeus_name_03","Воплощение молнии Зевса"
"rel_zeus_flavortext","Зевс — могущественнейший из богов Олимпа. Молния — его оружие и символ."
